Frame Index,Time (s),Position (ticks),Velocity (t/s),Current (mA),PWM
0,0,0,0,-1,0
1,0.041271240234375,0,0,-1,0
2,0.0618193359375,0,0,-1,0
3,0.08243310546875,0,0,-1,0
4,0.102903076171875,0,0,-1,0
5,0.1441796875,0,0,-1,0
6,0.164718017578125,0,0,-1,0
7,0.185482666015625,0,0,-1,0
8,0.195895263671875,0,0,-1,0
9,0.247421142578125,0,0,-1,0
10,0.257862060546875,0,0,-1,0
11,0.28854052734375,0,0,-1,0
12,0.29895654296875,0,0,-1,0
13,0.330059326171875,0,0,-1,0
14,0.340563232421875,0,0,-1,0
15,0.3715439453125,0,0,-1,0
16,0.38197802734375,0,0,-1,0
17,0.40298046875,0,0,-1,0
18,0.423476806640625,0,0,-1,0
19,0.444154296875,0,0,-1,0
20,0.464763671875,0,0,-1,0
21,0.485376220703125,0,0,-1,0
22,0.495789794921875,0,0,-1,0
23,0.5269541015625,0,0,-1,0
24,0.547535888671875,0,0,-1,0
25,0.568413818359375,0,0,-1,0
26,0.57886572265625,0,0,-1,0
27,0.6303642578125,0,0,-1,0
28,0.640788330078125,0,0,-1,0
29,0.671736083984375,0,0,-1,0
30,0.68215087890625,0,0,-1,0
31,0.703180908203125,0,0,-1,0
32,0.723697021484375,0,0,-1,0
33,0.74439501953125,0,0,-1,0
34,0.764981689453125,0,0,-1,0
35,0.78561865234375,0,0,-1,0
36,0.806105712890625,0,0,-1,0
37,0.8475947265625,0,0,-1,0
38,0.868156494140625,0,0,-1,0
39,0.888758544921875,0,0,-1,0
40,0.89919580078125,0,0,-1,0
41,0.950647216796875,0,0,-1,0
42,0.961153564453125,0,0,-1,0
43,0.98177734375,0,0,-1,0
44,1.00227294921875,0,0,-1,0
45,1.053765380859375,0,0,-1,0
46,1.064278076171875,0,0,-1,0
47,1.084876708984375,0,0,-1,0
48,1.10543408203125,0,0,-1,0
49,1.14677783203125,0,0,-1,0
50,1.167369873046875,0,0,-1,0
51,1.187990966796875,0,0,-1,0
52,1.208510498046875,0,0,-1,0
53,1.24997802734375,0,0,-1,0
54,1.2705380859375,0,0,-1,0
55,1.291146728515625,0,0,-1,0
56,1.3015654296875,0,0,-1,0
57,1.352903076171875,0,0,-1,0
58,1.363392822265625,0,0,-1,0
59,1.384006103515625,0,0,-1,0
60,1.40449365234375,0,0,-1,0
61,1.44581201171875,0,0,-1,0
62,1.46642138671875,0,0,-1,0
63,1.48704541015625,0,0,-1,0
64,1.507531494140625,0,0,-1,0
65,1.548841552734375,0,0,-1,0
66,1.5693974609375,0,0,-1,0
67,1.590022705078125,0,0,-1,0
68,1.610620849609375,0,0,-1,0
69,1.652109130859375,0,0,-1,0
70,1.662634521484375,0,0,-1,0
71,1.6933359375,0,0,-1,0
72,1.703768798828125,0,0,-1,0
73,1.755165283203125,0,0,-1,0
74,1.765650634765625,0,0,-1,0
75,1.78628173828125,0,0,-1,0
76,1.806766845703125,0,0,-1,0
77,1.848090576171875,0,0,-1,0
78,1.868670166015625,0,0,-1,0
79,1.88932470703125,0,0,-1,0
80,1.909939453125,0,0,-1,0
81,1.952196533203125,0,0,-1,0
82,1.96276904296875,0,0,-1,0
83,1.993585205078125,0,0,-1,0
84,2.00412890625,0,0,-1,0
85,2.055688232421875,0,0,-1,219
86,2.066130126953125,13,491,-1,254
87,2.096698974609375,46,1356,-1,26
88,2.107074951171875,75,1493,-1,-28
89,2.1584267578125,129,1339,-1,-67
90,2.168937744140625,153,1180,-1,-65
91,2.18951220703125,172,1039,-1,-45
92,2.210010986328125,190,918,-1,-20
93,2.251283203125,222,764,-1,46
94,2.27183544921875,235,692,-1,74
95,2.292389892578125,248,655,-1,117
96,2.312869873046875,260,632,-1,151
97,2.354122314453125,287,700,-1,194
98,2.374719970703125,307,906,-1,166
99,2.39528076171875,326,979,-1,154
100,2.405668212890625,347,992,-1,153
101,2.457032470703125,386,980,-1,157
102,2.467451416015625,406,974,-1,160
103,2.498012451171875,425,966,-1,164
104,2.508383544921875,444,969,-1,166
105,2.559732666015625,483,965,-1,172
106,2.57031640625,503,964,-1,176
107,2.601076904296875,522,975,-1,176
108,2.611485595703125,541,978,-1,177
109,2.65260009765625,582,994,-1,176
110,2.67306982421875,602,1004,-1,174
111,2.69355078125,621,1006,-1,173
112,2.713954345703125,642,1012,-1,171
113,2.754994140625,683,1006,-1,169
114,2.775451904296875,704,1010,-1,170
115,2.795921142578125,724,1007,-1,169
116,2.8062685546875,744,1010,-1,170
117,2.836979248046875,764,1004,-1,169
118,2.847413330078125,784,1002,-1,169
119,2.8780576171875,804,1004,-1,168
120,2.8885244140625,824,1002,-1,169
121,2.9192548828125,844,999,-1,170
122,2.92980859375,864,998,-1,170
123,2.960737548828125,884,986,-1,172
124,2.97131005859375,904,990,-1,172
125,2.991939208984375,923,987,-1,174
126,3.012602783203125,943,992,-1,173
127,3.055154052734375,983,1007,-1,173
128,3.076123046875,1004,1006,-1,172
129,3.0969501953125,1025,1006,-1,170
130,3.10754833984375,1045,1010,-1,167
131,3.15947607421875,1086,1012,-1,166
132,3.170048583984375,1106,1016,-1,164
133,3.200762451171875,1126,1014,-1,163
134,3.2112978515625,1146,1017,-1,163
135,3.262791259765625,1187,1013,-1,161
136,3.2734365234375,1208,1013,-1,160
137,3.294259033203125,1228,1011,-1,160
138,3.3148525390625,1249,1013,-1,160
139,3.356076171875,1289,1001,-1,159
